stack_bytes,mode,descriptor,su_file
176,"dynamic,bounded",/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:597:5:PQCP_MLKEM_NATIVE_MLKEM768_C_indcpa_enc,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
160,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c:254:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_keypair,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c.su
160,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c:340:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_enc,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c.su
160,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c:254:5:PQCP_MLKEM_NATIVE_MLKEM768_C_keypair,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c.su
160,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c:340:5:PQCP_MLKEM_NATIVE_MLKEM768_C_enc,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c.su
144,"dynamic,bounded",/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:427:5:PQCP_MLKEM_NATIVE_MLKEM768_C_indcpa_keypair_derand,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
96,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c:76:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_check_sk,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c.su
96,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c:805:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_indcpa_dec,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c.su
96,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c:76:5:PQCP_MLKEM_NATIVE_MLKEM768_C_check_sk,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c.su
96,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:805:5:PQCP_MLKEM_NATIVE_MLKEM768_C_indcpa_dec,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
