stack_bytes,mode,descriptor,su_file
960,"dynamic,bounded",/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:331:6:PQCP_MLKEM_NATIVE_MLKEM768_C_poly_getnoise_eta1_4x,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
944,static,/home/home/pqc/liboqs/tests/test_sha3.c:341:5:sha3_512_kat_test,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
928,static,/home/home/pqc/liboqs/src/common/sha3/xkcp_low/KeccakP-1600times4/avx2/KeccakP-1600-times4-SIMD256.c:869:8:KeccakF1600times4_FastLoop_Absorb_avx2,build-c-rx-kem-s-resource-audit-v1/src/common/sha3/xkcp_low/CMakeFiles/xkcp_low_keccakp_1600times4_avx2.dir/KeccakP-1600times4/avx2/KeccakP-1600-times4-SIMD256.c.su
928,static,/home/home/pqc/liboqs/src/common/sha3/xkcp_low/KeccakP-1600times4/avx2/KeccakP-1600-times4-SIMD256.c:926:8:KeccakP1600times4_12rounds_FastLoop_Absorb_avx2,build-c-rx-kem-s-resource-audit-v1/src/common/sha3/xkcp_low/CMakeFiles/xkcp_low_keccakp_1600times4_avx2.dir/KeccakP-1600times4/avx2/KeccakP-1600-times4-SIMD256.c.su
864,static,/home/home/pqc/liboqs/tests/test_sha3.c:200:5:sha3_384_kat_test,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
784,static,/home/home/pqc/liboqs/tests/test_sha3.c:79:5:sha3_256_kat_test,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
640,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_sig.c:24:19:sig_test_correctness,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig.dir/test_sig.c.su
608,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/sampling.c:216:6:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_poly_rej_uniform,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/sampling.c.su
608,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/sampling.c:216:6:PQCP_MLKEM_NATIVE_MLKEM768_C_poly_rej_uniform,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/sampling.c.su
592,static,/home/home/pqc/liboqs/src/sig_stfl/sig_stfl.c:23:21:OQS_SIG_STFL_alg_identifier,build-c-rx-kem-s-resource-audit-v1/src/CMakeFiles/oqs.dir/sig_stfl/sig_stfl.c.su
480,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_aes.c:151:5:main,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_aes.dir/test_aes.c.su
464,static,/home/home/pqc/liboqs/tests/test_sha3.c:1221:5:main,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
416,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:374:13:br_aes_ct64_keysched,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/aes/aes_c.c.su
416,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:374:13:br_aes_ct64_keysched,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
400,"dynamic,bounded",/home/home/pqc/liboqs/tests/speed_sig_stfl.c:51:19:sig_speed_wrapper,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_sig_stfl.dir/speed_sig_stfl.c.su
384,static,/home/home/pqc/liboqs/tests/speed_common.c:163:19:speed_sha3,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_common.dir/speed_common.c.su
352,static,/home/home/pqc/liboqs/src/kem/kem.c:14:21:OQS_KEM_alg_identifier,build-c-rx-kem-s-resource-audit-v1/src/CMakeFiles/oqs.dir/kem/kem.c.su
352,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c:245:6:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_gen_matrix,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c.su
352,static,/home/home/pqc/liboqs/tests/speed_common.c:58:19:speed_aes256,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_common.dir/speed_common.c.su
352,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_sig_stfl.c:1087:7:test_correctness_wrapper,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig_stfl.dir/test_sig_stfl.c.su
336,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:760:6:oqs_sha2_sha512_inc_finalize_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
336,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:760:6:oqs_sha2_sha512_inc_finalize_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
336,static,/home/home/pqc/liboqs/tests/test_sig_stfl.c:1133:5:main,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig_stfl.dir/test_sig_stfl.c.su
336,"dynamic,bounded",/home/home/pqc/liboqs/tests/speed_sig.c:35:19:sig_speed_wrapper,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_sig.dir/speed_sig.c.su
320,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:516:13:aes_ecb4x,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/aes/aes_c.c.su
320,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:516:13:aes_ecb4x,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
320,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:245:6:PQCP_MLKEM_NATIVE_MLKEM768_C_gen_matrix,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
320,"dynamic,bounded",/home/home/pqc/liboqs/tests/speed_kem.c:36:19:kem_speed_wrapper,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_kem.dir/speed_kem.c.su
304,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:687:6:oqs_aes256_load_schedule_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/aes/aes_c.c.su
304,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:687:6:oqs_aes256_load_schedule_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
304,static,/home/home/pqc/liboqs/tests/test_kem.c:113:19:kem_test_correctness,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_kem.dir/test_kem.c.su
304,"dynamic,bounded",/home/home/pqc/liboqs/tests/kat_sig.c:711:12:sig_kat,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/kat_sig.dir/kat_sig.c.su
272,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:296:15:crypto_hashblocks_sha512_c.isra,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
272,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:833:6:oqs_sha2_sha384_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
272,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:643:13:aes_ctr,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/aes/aes_c.c.su
272,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:798:6:oqs_aes128_ctr_enc_sch_upd_blks_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/aes/aes_c.c.su
272,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:814:6:oqs_aes256_ctr_enc_sch_upd_blks_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/aes/aes_c.c.su
272,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:296:15:crypto_hashblocks_sha512_c.isra,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
272,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:643:13:aes_ctr,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
272,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:798:6:oqs_aes128_ctr_enc_sch_upd_blks_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
272,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:814:6:oqs_aes256_ctr_enc_sch_upd_blks_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
256,static,/home/home/pqc/liboqs/tests/speed_common.c:26:19:speed_aes128,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_common.dir/speed_common.c.su
256,static,/home/home/pqc/liboqs/tests/speed_common.c:143:19:speed_sha512,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_common.dir/speed_common.c.su
240,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:819:6:oqs_sha2_sha224_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
240,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:558:13:aes_ecb,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/aes/aes_c.c.su
240,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:678:6:oqs_aes128_load_schedule_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/aes/aes_c.c.su
240,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:558:13:aes_ecb,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
240,static,/home/home/pqc/liboqs/src/common/aes/aes_c.c:678:6:oqs_aes128_load_schedule_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
240,static,/home/home/pqc/liboqs/tests/speed_common.c:123:19:speed_sha384,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_common.dir/speed_common.c.su
240,static,/home/home/pqc/liboqs/tests/kat_kem.c:139:5:main,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/kat_kem.dir/kat_kem.c.su
224,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:683:6:oqs_sha2_sha256_inc_finalize_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
224,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:683:6:oqs_sha2_sha256_inc_finalize_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
224,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c:290:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_enc_derand,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c.su
224,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c:290:5:PQCP_MLKEM_NATIVE_MLKEM768_C_enc_derand,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c.su
224,static,/home/home/pqc/liboqs/tests/test_kem.c:388:5:main,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_kem.dir/test_kem.c.su
224,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_helpers.c:172:12:test_sig_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_kem.dir/test_helpers.c.su
224,static,/home/home/pqc/liboqs/tests/speed_common.c:103:19:speed_sha256,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_common.dir/speed_common.c.su
224,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_helpers.c:172:12:test_sig_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_kem_mem.dir/test_helpers.c.su
224,static,/home/home/pqc/liboqs/tests/tmp_store.c:57:19:oqs_fload,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_kem_mem.dir/test_kem_mem.c.su
224,static,/home/home/pqc/liboqs/tests/tmp_store.c:57:19:oqs_fload,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig_stfl.dir/test_sig_stfl.c.su
224,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_helpers.c:172:12:test_sig_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig_stfl.dir/test_helpers.c.su
224,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_helpers.c:172:12:test_sig_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig.dir/test_helpers.c.su
224,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_helpers.c:172:12:test_sig_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/kat_kem.dir/test_helpers.c.su
224,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_helpers.c:172:12:test_sig_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/kat_sig.dir/test_helpers.c.su
224,static,/home/home/pqc/liboqs/tests/tmp_store.c:57:19:oqs_fload,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig_mem.dir/test_sig_mem.c.su
224,"dynamic,bounded",/home/home/pqc/liboqs/tests/test_helpers.c:172:12:test_sig_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/kat_sig_stfl.dir/test_helpers.c.su
216,static,/home/home/pqc/liboqs/src/common/sha3/xkcp_low/KeccakP-1600/plain-64bits/KeccakP-1600-opt64.c:487:8:KeccakF1600_FastLoop_Absorb_plain64,build-c-rx-kem-s-resource-audit-v1/src/common/sha3/xkcp_low/CMakeFiles/xkcp_low_keccakp_1600_plain64.dir/KeccakP-1600/plain-64bits/KeccakP-1600-opt64.c.su
208,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:826:6:oqs_sha2_sha256_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
208,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:840:6:oqs_sha2_sha512_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
