stack_bytes,mode,descriptor,su_file
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:47:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_compress_du,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:61:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_decompress_du,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:79:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_tobytes,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:96:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_frombytes,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:224:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_mulcache_compute,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:256:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_add,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c:210:5:PQCP_MLKEM_NATIVE_MLKEM768_C_keypair_derand,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/kem.c.su
32,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:109:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_ntt,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
32,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:126:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_invntt_tomont,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
32,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:241:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_reduce,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
32,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:279:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_tomont,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
32,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:403:5:PQCP_MLKEM_NATIVE_MLKEM768_C_v27_keypair_workspace_set,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
32,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:573:5:PQCP_MLKEM_NATIVE_MLKEM768_C_v26_enc_workspace_set,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
32,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:741:5:PQCP_MLKEM_NATIVE_MLKEM768_C_v28_dec_workspace_set,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
32,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:781:5:PQCP_MLKEM_NATIVE_MLKEM768_C_v29_lifecycle_workspace_set,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
8,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:399:8:PQCP_MLKEM_NATIVE_MLKEM768_C_v27_keypair_workspace_bytes,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
8,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:569:8:PQCP_MLKEM_NATIVE_MLKEM768_C_v26_enc_workspace_bytes,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
8,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:737:8:PQCP_MLKEM_NATIVE_MLKEM768_C_v28_dec_workspace_bytes,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
8,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c:777:8:PQCP_MLKEM_NATIVE_MLKEM768_C_v29_lifecycle_workspace_bytes,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/indcpa.c.su
