bytes,kind,function,source,line,column,su_file
928,static,KeccakF1600times4_FastLoop_Absorb_avx2,/home/home/pqc/liboqs/src/common/sha3/xkcp_low/KeccakP-1600times4/avx2/KeccakP-1600-times4-SIMD256.c,869,8,src/common/sha3/xkcp_low/CMakeFiles/xkcp_low_keccakp_1600times4_avx2.dir/KeccakP-1600times4/avx2/KeccakP-1600-times4-SIMD256.c.su
928,static,KeccakP1600times4_12rounds_FastLoop_Absorb_avx2,/home/home/pqc/liboqs/src/common/sha3/xkcp_low/KeccakP-1600times4/avx2/KeccakP-1600-times4-SIMD256.c,926,8,src/common/sha3/xkcp_low/CMakeFiles/xkcp_low_keccakp_1600times4_avx2.dir/KeccakP-1600times4/avx2/KeccakP-1600-times4-SIMD256.c.su
864,static,sha3_384_kat_test,/home/home/pqc/liboqs/tests/test_sha3.c,200,5,tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
784,static,sha3_256_kat_test,/home/home/pqc/liboqs/tests/test_sha3.c,79,5,tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
640,"dynamic,bounded",sig_test_correctness,/home/home/pqc/liboqs/tests/test_sig.c,24,19,tests/CMakeFiles/test_sig.dir/test_sig.c.su
592,static,OQS_SIG_STFL_alg_identifier,/home/home/pqc/liboqs/src/sig_stfl/sig_stfl.c,23,21,src/CMakeFiles/oqs.dir/sig_stfl/sig_stfl.c.su
544,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_signature,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,1574,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
544,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_signature,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,1574,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
528,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_signature_internal,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,1444,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
528,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_signature_internal,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,1444,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
496,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_verify,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,1869,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
496,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_verify,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,1869,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
480,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_signature_pre_hash_internal,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,1958,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
480,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_signature_pre_hash_internal,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,1958,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
480,"dynamic,bounded",main,/home/home/pqc/liboqs/tests/test_aes.c,151,5,tests/CMakeFiles/test_aes.dir/test_aes.c.su
464,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_verify_pre_hash_internal,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,2001,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
464,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_verify_pre_hash_internal,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,2001,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
464,static,main,/home/home/pqc/liboqs/tests/test_sha3.c,1221,5,tests/CMakeFiles/test_sha3.dir/test_sha3.c.su
416,static,br_aes_ct64_keysched,/home/home/pqc/liboqs/src/common/aes/aes_c.c,374,13,src/common/CMakeFiles/common.dir/aes/aes_c.c.su
416,static,br_aes_ct64_keysched,/home/home/pqc/liboqs/src/common/aes/aes_c.c,374,13,src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
400,"dynamic,bounded",sig_speed_wrapper,/home/home/pqc/liboqs/tests/speed_sig_stfl.c,51,19,tests/CMakeFiles/speed_sig_stfl.dir/speed_sig_stfl.c.su
384,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_polyvec_matrix_expand_eager,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec_lazy.c,59,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec_lazy.c.su
384,static,speed_sha3,/home/home/pqc/liboqs/tests/speed_common.c,163,19,tests/CMakeFiles/speed_common.dir/speed_common.c.su
352,static,OQS_KEM_alg_identifier,/home/home/pqc/liboqs/src/kem/kem.c,14,21,src/CMakeFiles/oqs.dir/kem/kem.c.su
352,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyvec_matrix_expand_eager,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec_lazy.c,59,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec_lazy.c.su
352,static,speed_aes256,/home/home/pqc/liboqs/tests/speed_common.c,58,19,tests/CMakeFiles/speed_common.dir/speed_common.c.su
352,"dynamic,bounded",test_correctness_wrapper,/home/home/pqc/liboqs/tests/test_sig_stfl.c,1087,7,tests/CMakeFiles/test_sig_stfl.dir/test_sig_stfl.c.su
336,static,oqs_sha2_sha512_inc_finalize_c,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c,760,6,src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
336,static,oqs_sha2_sha512_inc_finalize_c,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c,760,6,src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
336,static,main,/home/home/pqc/liboqs/tests/test_sig_stfl.c,1133,5,tests/CMakeFiles/test_sig_stfl.dir/test_sig_stfl.c.su
336,"dynamic,bounded",sig_speed_wrapper,/home/home/pqc/liboqs/tests/speed_sig.c,35,19,tests/CMakeFiles/speed_sig.dir/speed_sig.c.su
320,static,aes_ecb4x,/home/home/pqc/liboqs/src/common/aes/aes_c.c,516,13,src/common/CMakeFiles/common.dir/aes/aes_c.c.su
320,static,aes_ecb4x,/home/home/pqc/liboqs/src/common/aes/aes_c.c,516,13,src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
320,"dynamic,bounded",kem_speed_wrapper,/home/home/pqc/liboqs/tests/speed_kem.c,36,19,tests/CMakeFiles/speed_kem.dir/speed_kem.c.su
304,static,oqs_aes256_load_schedule_c,/home/home/pqc/liboqs/src/common/aes/aes_c.c,687,6,src/common/CMakeFiles/common.dir/aes/aes_c.c.su
304,static,oqs_aes256_load_schedule_c,/home/home/pqc/liboqs/src/common/aes/aes_c.c,687,6,src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
304,"dynamic,bounded",sig_kat,/home/home/pqc/liboqs/tests/kat_sig.c,711,12,tests/CMakeFiles/kat_sig.dir/kat_sig.c.su
272,static,crypto_hashblocks_sha512_c.isra,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c,296,15,src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
272,static,oqs_sha2_sha384_c,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c,833,6,src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
272,static,aes_ctr,/home/home/pqc/liboqs/src/common/aes/aes_c.c,643,13,src/common/CMakeFiles/common.dir/aes/aes_c.c.su
272,static,oqs_aes128_ctr_enc_sch_upd_blks_c,/home/home/pqc/liboqs/src/common/aes/aes_c.c,798,6,src/common/CMakeFiles/common.dir/aes/aes_c.c.su
